    a: 0.000s
    b: 0.057s
    c: 0.077s
    d: 0.125s
    e: 0.163s
    f: 0.224s
    g: 0.288s
    h: 0.325s
    i: 0.378s
    j: 0.539s
    k: 0.580s
    l: 0.652s
    m: 0.750s
    n: 0.843s
    o: 0.862s
    p: 0.924s
    q: 1.028s
    r: 1.028s
    s: 1.174s
    t: 1.214s
    u: 1.253s
    v: 1.335s
    w: 1.390s
    x: 1.498s
    y: 1.574s
    z: 1.581s
