    a: 0.000s
    b: 0.056s
    c: 0.150s
    d: 0.223s
    e: 0.269s
    f: 0.365s
    g: 0.375s
    h: 0.408s
    i: 0.525s
    j: 0.697s
    k: 0.731s
    l: 0.824s
    m: 1.009s
    n: 1.094s
    o: 1.094s
    p: 1.159s
    q: 1.250s
    r: 1.250s
    s: 1.422s
    t: 1.464s
    u: 1.550s
    v: 1.656s
    w: 1.720s
    x: 1.872s
    y: 1.932s
    z: 1.987s
