    a: 0.000s
    b: 0.032s
    c: 0.083s
    d: 0.147s
    e: 0.182s
    f: 0.237s
    g: 0.269s
    h: 0.312s
    i: 0.345s
    j: 0.500s
    k: 0.568s
    l: 0.616s
    m: 0.699s
    n: 0.763s
    o: 0.799s
    p: 0.854s
    q: 0.950s
    r: 0.950s
    s: 1.079s
    t: 1.138s
    u: 1.232s
    v: 1.296s
    w: 1.309s
    x: 1.464s
    y: 1.534s
    z: 1.829s
