    a: 0.000s
    b: 0.094s
    c: 0.110s
    d: 0.152s
    e: 0.234s
    f: 0.269s
    g: 0.364s
    h: 0.409s
    i: 0.429s
    j: 0.621s
    k: 0.675s
    l: 0.746s
    m: 0.863s
    n: 0.959s
    o: 0.959s
    p: 0.990s
    q: 1.113s
    r: 1.113s
    s: 1.284s
    t: 1.319s
    u: 1.415s
    v: 1.478s
    w: 1.478s
    x: 1.652s
    y: 1.673s
    z: 1.730s
