    a: 0.000s
    b: 0.093s
    c: 0.139s
    d: 0.192s
    e: 0.231s
    f: 0.298s
    g: 0.377s
    h: 0.428s
    i: 0.463s
    j: 0.664s
    k: 0.720s
    l: 0.767s
    m: 0.891s
    n: 0.974s
    o: 0.987s
    p: 1.058s
    q: 1.166s
    r: 1.178s
    s: 1.295s
    t: 1.360s
    u: 1.415s
    v: 1.478s
    w: 1.503s
    x: 1.676s
    y: 1.676s
    z: 1.746s
