    a: 0.000s
    b: 0.063s
    c: 0.116s
    d: 0.175s
    e: 0.229s
    f: 0.277s
    g: 0.330s
    h: 0.381s
    i: 0.381s
    j: 0.601s
    k: 0.643s
    l: 0.722s
    m: 0.842s
    n: 0.909s
    o: 0.971s
    p: 0.996s
    q: 1.112s
    r: 1.112s
    s: 1.230s
    t: 1.302s
    u: 1.379s
    v: 1.462s
    w: 1.479s
    x: 1.714s
    y: 1.883s
    z: 1.995s
