    a: 0.000s
    b: 0.059s
    c: 0.179s
    d: 0.295s
    e: 0.349s
    f: 0.445s
    g: 0.479s
    h: 0.532s
    i: 0.563s
    j: 0.747s
    k: 0.781s
    l: 0.870s
    m: 1.028s
    n: 1.086s
    o: 1.098s
    p: 1.114s
    q: 1.229s
    r: 1.229s
    s: 1.363s
    t: 1.418s
    u: 1.504s
    v: 1.611s
    w: 1.635s
    x: 1.809s
    y: 1.858s
    z: 1.878s
