    a: 0.000s
    b: 0.065s
    c: 0.161s
    d: 0.219s
    e: 0.279s
    f: 0.353s
    g: 0.434s
    h: 0.481s
    i: 0.550s
    j: 0.727s
    k: 0.780s
    l: 0.873s
    m: 0.994s
    n: 1.044s
    o: 1.086s
    p: 1.142s
    q: 1.241s
    r: 1.279s
    s: 1.425s
    t: 1.479s
    u: 1.580s
    v: 1.648s
    w: 1.677s
    x: 1.829s
    y: 1.829s
    z: 1.852s
