    a: 0.000s
    b: 0.065s
    c: 0.132s
    d: 0.190s
    e: 0.262s
    f: 0.282s
    g: 0.361s
    h: 0.392s
    i: 0.444s
    j: 0.627s
    k: 0.691s
    l: 0.761s
    m: 0.903s
    n: 0.998s
    o: 1.014s
    p: 1.062s
    q: 1.161s
    r: 1.161s
    s: 1.300s
    t: 1.347s
    u: 1.440s
    v: 1.545s
    w: 1.596s
    x: 1.650s
    y: 1.661s
    z: 1.726s
