    a: 0.000s
    b: 0.041s
    c: 0.058s
    d: 0.175s
    e: 0.175s
    f: 0.230s
    g: 0.274s
    h: 0.317s
    i: 0.334s
    j: 0.533s
    k: 0.591s
    l: 0.649s
    m: 0.793s
    n: 0.876s
    o: 0.900s
    p: 0.957s
    q: 1.059s
    r: 1.059s
    s: 1.208s
    t: 1.262s
    u: 1.287s
    v: 1.496s
    w: 1.571s
    x: 1.643s
    y: 1.668s
    z: 1.682s
