    a: 0.000s
    b: 0.095s
    c: 0.134s
    d: 0.194s
    e: 0.243s
    f: 0.301s
    g: 0.381s
    h: 0.416s
    i: 0.470s
    j: 0.654s
    k: 0.722s
    l: 0.795s
    m: 0.960s
    n: 1.048s
    o: 1.053s
    p: 1.114s
    q: 1.197s
    r: 1.197s
    s: 1.366s
    t: 1.449s
    u: 1.514s
    v: 1.605s
    w: 1.624s
    x: 1.723s
    y: 1.737s
    z: 1.785s
