    a: 0.000s
    b: 0.089s
    c: 0.106s
    d: 0.180s
    e: 0.213s
    f: 0.309s
    g: 0.371s
    h: 0.431s
    i: 0.471s
    j: 0.677s
    k: 0.738s
    l: 0.804s
    m: 0.942s
    n: 1.040s
    o: 1.086s
    p: 1.156s
    q: 1.268s
    r: 1.268s
    s: 1.405s
    t: 1.488s
    u: 1.566s
    v: 1.627s
    w: 1.685s
    x: 1.767s
    y: 1.767s
    z: 1.819s
