    a: 0.000s
    b: 0.054s
    c: 0.085s
    d: 0.158s
    e: 0.216s
    f: 0.275s
    g: 0.332s
    h: 0.387s
    i: 0.432s
    j: 0.608s
    k: 0.663s
    l: 0.730s
    m: 0.841s
    n: 0.942s
    o: 0.959s
    p: 1.017s
    q: 1.149s
    r: 1.149s
    s: 1.296s
    t: 1.364s
    u: 1.412s
    v: 1.509s
    w: 1.525s
    x: 1.687s
    y: 1.692s
    z: 1.763s
