    a: 0.000s
    b: 0.064s
    c: 0.105s
    d: 0.164s
    e: 0.205s
    f: 0.287s
    g: 0.351s
    h: 0.412s
    i: 0.457s
    j: 0.713s
    k: 0.713s
    l: 0.789s
    m: 0.913s
    n: 1.032s
    o: 1.032s
    p: 1.058s
    q: 1.206s
    r: 1.206s
    s: 1.339s
    t: 1.401s
    u: 1.497s
    v: 1.573s
    w: 1.583s
    x: 1.737s
    y: 1.737s
    z: 1.790s
