    a: 0.000s
    b: 0.078s
    c: 0.089s
    d: 0.172s
    e: 0.211s
    f: 0.300s
    g: 0.374s
    h: 0.435s
    i: 0.494s
    j: 0.694s
    k: 0.760s
    l: 0.831s
    m: 0.960s
    n: 1.067s
    o: 1.094s
    p: 1.150s
    q: 1.260s
    r: 1.260s
    s: 1.424s
    t: 1.478s
    u: 1.561s
    v: 1.649s
    w: 1.673s
    x: 1.777s
    y: 1.800s
    z: 1.844s
