    a: 0.000s
    b: 0.059s
    c: 0.115s
    d: 0.166s
    e: 0.216s
    f: 0.235s
    g: 0.327s
    h: 0.350s
    i: 0.370s
    j: 0.584s
    k: 0.619s
    l: 0.702s
    m: 0.825s
    n: 0.926s
    o: 0.926s
    p: 0.976s
    q: 1.113s
    r: 1.113s
    s: 1.290s
    t: 1.336s
    u: 1.414s
    v: 1.496s
    w: 1.509s
    x: 1.710s
    y: 1.710s
    z: 1.769s
