    a: 0.000s
    b: 0.080s
    c: 0.096s
    d: 0.168s
    e: 0.247s
    f: 0.293s
    g: 0.376s
    h: 0.402s
    i: 0.447s
    j: 0.611s
    k: 0.681s
    l: 0.731s
    m: 0.868s
    n: 0.965s
    o: 0.965s
    p: 1.015s
    q: 1.114s
    r: 1.114s
    s: 1.248s
    t: 1.298s
    u: 1.361s
    v: 1.519s
    w: 1.533s
    x: 1.670s
    y: 1.932s
    z: 1.962s
