    a: 0.000s
    b: 0.069s
    c: 0.195s
    d: 0.195s
    e: 0.216s
    f: 0.294s
    g: 0.380s
    h: 0.440s
    i: 0.440s
    j: 0.635s
    k: 0.690s
    l: 0.782s
    m: 0.894s
    n: 0.994s
    o: 0.994s
    p: 1.037s
    q: 1.174s
    r: 1.174s
    s: 1.303s
    t: 1.364s
    u: 1.415s
    v: 1.527s
    w: 1.572s
    x: 1.791s
    y: 1.802s
    z: 1.821s
