    a: 0.000s
    b: 0.051s
    c: 0.080s
    d: 0.196s
    e: 0.231s
    f: 0.260s
    g: 0.317s
    h: 0.376s
    i: 0.448s
    j: 0.661s
    k: 0.684s
    l: 0.776s
    m: 0.905s
    n: 0.985s
    o: 0.985s
    p: 1.031s
    q: 1.145s
    r: 1.145s
    s: 1.314s
    t: 1.381s
    u: 1.424s
    v: 1.548s
    w: 1.580s
    x: 1.678s
    y: 1.678s
    z: 1.756s
