    a: 0.000s
    b: 0.064s
    c: 0.086s
    d: 0.164s
    e: 0.205s
    f: 0.250s
    g: 0.335s
    h: 0.385s
    i: 0.423s
    j: 0.647s
    k: 0.677s
    l: 0.742s
    m: 0.859s
    n: 0.946s
    o: 0.956s
    p: 1.013s
    q: 1.127s
    r: 1.127s
    s: 1.285s
    t: 1.356s
    u: 1.402s
    v: 1.495s
    w: 1.495s
    x: 1.625s
    y: 1.673s
    z: 1.703s
