    a: 0.000s
    b: 0.063s
    c: 0.113s
    d: 0.157s
    e: 0.208s
    f: 0.269s
    g: 0.347s
    h: 0.416s
    i: 0.432s
    j: 0.629s
    k: 0.750s
    l: 0.750s
    m: 0.897s
    n: 0.916s
    o: 0.959s
    p: 1.030s
    q: 1.160s
    r: 1.160s
    s: 1.302s
    t: 1.349s
    u: 1.403s
    v: 1.527s
    w: 1.546s
    x: 1.638s
    y: 1.648s
    z: 1.696s
