    a: 0.000s
    b: 0.022s
    c: 0.087s
    d: 0.164s
    e: 0.206s
    f: 0.240s
    g: 0.302s
    h: 0.349s
    i: 0.369s
    j: 0.557s
    k: 0.589s
    l: 0.666s
    m: 0.768s
    n: 0.848s
    o: 0.848s
    p: 0.902s
    q: 1.003s
    r: 1.019s
    s: 1.174s
    t: 1.236s
    u: 1.261s
    v: 1.350s
    w: 1.359s
    x: 1.511s
    y: 1.511s
    z: 1.603s
