    a: 0.000s
    b: 0.059s
    c: 0.101s
    d: 0.161s
    e: 0.201s
    f: 0.260s
    g: 0.331s
    h: 0.379s
    i: 0.414s
    j: 0.666s
    k: 0.671s
    l: 0.731s
    m: 0.846s
    n: 0.965s
    o: 0.965s
    p: 1.014s
    q: 1.129s
    r: 1.129s
    s: 1.284s
    t: 1.346s
    u: 1.413s
    v: 1.469s
    w: 1.501s
    x: 1.603s
    y: 1.630s
    z: 1.710s
