    a: 0.000s
    b: 0.082s
    c: 0.103s
    d: 0.182s
    e: 0.230s
    f: 0.302s
    g: 0.370s
    h: 0.423s
    i: 0.456s
    j: 0.684s
    k: 0.711s
    l: 0.769s
    m: 0.887s
    n: 0.995s
    o: 0.995s
    p: 1.049s
    q: 1.137s
    r: 1.147s
    s: 1.330s
    t: 1.366s
    u: 1.441s
    v: 1.487s
    w: 1.500s
    x: 1.620s
    y: 1.694s
    z: 1.731s
