    a: 0.000s
    b: 0.051s
    c: 0.069s
    d: 0.169s
    e: 0.212s
    f: 0.252s
    g: 0.331s
    h: 0.369s
    i: 0.388s
    j: 0.573s
    k: 0.611s
    l: 0.664s
    m: 0.780s
    n: 0.849s
    o: 0.865s
    p: 0.926s
    q: 1.062s
    r: 1.062s
    s: 1.213s
    t: 1.274s
    u: 1.309s
    v: 1.417s
    w: 1.422s
    x: 1.610s
    y: 1.610s
    z: 1.702s
