    a: 0.000s
    b: 0.086s
    c: 0.110s
    d: 0.136s
    e: 0.222s
    f: 0.287s
    g: 0.373s
    h: 0.418s
    i: 0.444s
    j: 0.659s
    k: 0.686s
    l: 0.763s
    m: 0.877s
    n: 0.989s
    o: 0.999s
    p: 1.039s
    q: 1.136s
    r: 1.136s
    s: 1.287s
    t: 1.344s
    u: 1.414s
    v: 1.493s
    w: 1.504s
    x: 1.678s
    y: 1.678s
    z: 1.720s
