    a: 0.000s
    b: 0.070s
    c: 0.100s
    d: 0.158s
    e: 0.253s
    f: 0.299s
    g: 0.357s
    h: 0.391s
    i: 0.431s
    j: 0.620s
    k: 0.675s
    l: 0.752s
    m: 0.865s
    n: 0.965s
    o: 0.987s
    p: 1.017s
    q: 1.183s
    r: 1.183s
    s: 1.312s
    t: 1.370s
    u: 1.440s
    v: 1.494s
    w: 1.576s
    x: 1.670s
    y: 1.670s
    z: 1.686s
