    a: 0.000s
    b: 0.038s
    c: 0.096s
    d: 0.155s
    e: 0.244s
    f: 0.253s
    g: 0.338s
    h: 0.380s
    i: 0.410s
    j: 0.597s
    k: 0.643s
    l: 0.704s
    m: 0.847s
    n: 0.944s
    o: 0.964s
    p: 1.019s
    q: 1.112s
    r: 1.112s
    s: 1.281s
    t: 1.344s
    u: 1.410s
    v: 1.535s
    w: 1.535s
    x: 1.663s
    y: 1.663s
    z: 1.679s
