    a: 0.000s
    b: 0.051s
    c: 0.116s
    d: 0.179s
    e: 0.201s
    f: 0.266s
    g: 0.334s
    h: 0.382s
    i: 0.428s
    j: 0.653s
    k: 0.686s
    l: 0.749s
    m: 0.869s
    n: 0.928s
    o: 0.959s
    p: 1.001s
    q: 1.113s
    r: 1.113s
    s: 1.246s
    t: 1.308s
    u: 1.391s
    v: 1.459s
    w: 1.479s
    x: 1.609s
    y: 1.609s
    z: 1.695s
