    a: 0.000s
    b: 0.098s
    c: 0.136s
    d: 0.187s
    e: 0.225s
    f: 0.297s
    g: 0.376s
    h: 0.425s
    i: 0.432s
    j: 0.630s
    k: 0.680s
    l: 0.743s
    m: 0.846s
    n: 0.967s
    o: 0.967s
    p: 1.014s
    q: 1.124s
    r: 1.131s
    s: 1.282s
    t: 1.334s
    u: 1.375s
    v: 1.459s
    w: 1.498s
    x: 1.654s
    y: 1.654s
    z: 1.717s
